Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,01-03-2024 16:16:13,01-03-2024 16:20:43,4m - 29.306s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - New Opty,,,,01-03-2024 16:16:14,01-03-2024 16:20:43,4m - 28.976s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Downloads\tatamotarsdemo 1\tatamotarsdemo\Application\app-release 2.apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,01-03-2024 16:16:15,01-03-2024 16:17:21,1m - 5.459s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,01-03-2024 16:17:21,01-03-2024 16:17:21,0.302s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,,,01-03-2024 16:17:21,01-03-2024 16:17:23,1.544s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,01-03-2024 16:17:23,01-03-2024 16:17:23,0.279s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,01-03-2024 16:17:23,01-03-2024 16:17:23,0.251s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,01-03-2024 16:17:23,01-03-2024 16:17:23,0.263s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,01-03-2024 16:17:23,01-03-2024 16:17:24,0.239s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,01-03-2024 16:17:24,01-03-2024 16:17:24,0.243s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,01-03-2024 16:17:24,01-03-2024 16:17:24,0.013s,PASSED
takeScreenshot(),,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer",,01-03-2024 16:17:24,01-03-2024 16:17:25,1.497s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 3)",,,,01-03-2024 16:17:25,01-03-2024 16:17:26,0.367s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 10)",,5,,01-03-2024 16:17:26,01-03-2024 16:17:36,10.089s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:17:36,01-03-2024 16:17:36,0.002s,PASSED
"bool_AddContact = verifyElementExist(findTestObject(""Add Contact/AddContact""), 30)",,,,01-03-2024 16:17:36,01-03-2024 16:17:36,0.245s,PASSED
"bool_SearchAddContact = verifyElementExist(findTestObject(""Add Contact/Search - Add Contact""), 30)",,,,01-03-2024 16:17:36,01-03-2024 16:17:37,0.804s,PASSED
bool_AddContact && bool_SearchAddContact == true,,,,01-03-2024 16:17:37,01-03-2024 16:17:37,0.002s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 10)",,5,,01-03-2024 16:17:37,01-03-2024 16:17:47,10.104s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:17:47,01-03-2024 16:17:47,0.002s,PASSED
takeScreenshot(),,"STEP-02 : The user successfully  landed on the Add Opportunity screen with the below options-:
1. Add Contact
2. Search bar for existing contact search",,01-03-2024 16:17:47,01-03-2024 16:17:49,1.460s,PASSED
"tap(findTestObject(""Add Contact/Search - Add Contact""), 0, STOP_ON_FAILURE)",,,,01-03-2024 16:17:49,01-03-2024 16:17:49,0.773s,PASSED
"setText(findTestObject(""TataMotars/SearchBox""), str_NewContact, 0)",,,,01-03-2024 16:17:49,01-03-2024 16:17:51,1.770s,PASSED
hideKeyboard(),,,,01-03-2024 16:17:51,01-03-2024 16:17:53,1.730s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 30)",,,,01-03-2024 16:17:53,01-03-2024 16:18:23,30.115s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:18:23,01-03-2024 16:18:23,0.002s,PASSED
else,,,,01-03-2024 16:18:23,01-03-2024 16:18:23,0.005s,PASSED
"str_getNewContact = getAttribute(findTestObject(""TataMotars/SearchBox""), ""name"", 0)",,,,01-03-2024 16:18:23,01-03-2024 16:18:24,0.741s,PASSED
str_NewContact == str_getNewContact,,,,01-03-2024 16:18:24,01-03-2024 16:18:24,0.002s,PASSED
"tap(findTestObject(""Add Contact/AddNewContactButton""), 0)",,,,01-03-2024 16:18:24,01-03-2024 16:18:24,0.812s,PASSED
"setText(findTestObject(""Primery Details/FirstName""), str_FirstName, 0)",,,,01-03-2024 16:18:24,01-03-2024 16:18:26,1.784s,PASSED
takeScreenshot(),,STEP-03 : The user successfully enters the name and respective name should be visible,,01-03-2024 16:18:26,01-03-2024 16:18:27,0.965s,PASSED
hideKeyboard(),,,,01-03-2024 16:18:27,01-03-2024 16:18:30,2.945s,PASSED
"setText(findTestObject(""Primery Details/LastName""), str_LastName, 0)",,,,01-03-2024 16:18:30,01-03-2024 16:18:32,1.775s,PASSED
hideKeyboard(),,,,01-03-2024 16:18:32,01-03-2024 16:18:34,1.736s,PASSED
"setText(findTestObject(""Primery Details/MobileNumber""), str_MobileNumber, 0)",,,,01-03-2024 16:18:34,01-03-2024 16:18:35,1.760s,PASSED
hideKeyboard(),,,,01-03-2024 16:18:35,01-03-2024 16:18:39,3.493s,PASSED
takeScreenshot(),,,,01-03-2024 16:18:39,01-03-2024 16:18:40,1.054s,PASSED
"tap(findTestObject(""Create New Opportunity/Customer Type""), 0)",,,,01-03-2024 16:18:40,01-03-2024 16:18:42,1.530s,PASSED
