Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-01,,,,17-01-2024 11:12:30,17-01-2024 11:15:28,2m - 57.396s,PASSED
,,,,,,,
Test Cases/TC/TC_03 -Add Account,,,,17-01-2024 11:12:30,17-01-2024 11:15:28,2m - 57.077s,PASSED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Downloads\tatamotarsdemo 1\tatamotarsdemo\Application\app-release 2.apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,17-01-2024 11:12:32,17-01-2024 11:14:13,1m - 40.892s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,17-01-2024 11:14:13,17-01-2024 11:14:13,0.292s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer
5. Follow Up

Actual_Result : The pop up  appeared and below 5 option are listed
1. Opportunity
2. Customer
3. Account
4. Influencer
5. Follow Up
",,17-01-2024 11:14:13,17-01-2024 11:14:15,1.589s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,17-01-2024 11:14:15,17-01-2024 11:14:16,0.868s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,17-01-2024 11:14:16,17-01-2024 11:14:16,0.215s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,17-01-2024 11:14:16,17-01-2024 11:14:16,0.209s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,17-01-2024 11:14:16,17-01-2024 11:14:16,0.207s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,17-01-2024 11:14:16,17-01-2024 11:14:17,0.216s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,17-01-2024 11:14:17,17-01-2024 11:14:17,0.004s,PASSED
"takeScreenshot("""", STOP_ON_FAILURE)",,,,17-01-2024 11:14:17,17-01-2024 11:14:18,1.509s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/Account""), 3)",,2,,17-01-2024 11:14:18,17-01-2024 11:14:19,1.030s,PASSED
"bool_Individual = verifyElementExist(findTestObject(""Add Account/Individual RadioButton""), 30)",,,,17-01-2024 11:14:19,17-01-2024 11:14:19,0.300s,PASSED
"bool_AccountName = verifyElementExist(findTestObject(""Add Account/Account Name""), 30)",,,,17-01-2024 11:14:19,17-01-2024 11:14:20,0.786s,PASSED
"bool_MainPhoneNumber = verifyElementExist(findTestObject(""Add Account/Main Phone Number""), 30)",,,,17-01-2024 11:14:20,17-01-2024 11:14:21,0.790s,PASSED
bool_Individual && bool_AccountName && bool_MainPhoneNumber == true,,,,17-01-2024 11:14:21,17-01-2024 11:14:21,0.005s,PASSED
"takeScreenshot("""", STOP_ON_FAILURE)",,,,17-01-2024 11:14:21,17-01-2024 11:14:22,1.395s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 30)",,5,,17-01-2024 11:14:22,17-01-2024 11:14:25,2.211s,PASSED
if (Bool_Offline == true),,,,17-01-2024 11:14:25,17-01-2024 11:14:26,1.596s,PASSED
"checkElement(findTestObject(""Add Account/Individual RadioButton""), 0)",,,,17-01-2024 11:14:26,17-01-2024 11:14:27,0.532s,PASSED
"setText(findTestObject(""Add Account/Account Name""), str_AccountName, 0)",,,,17-01-2024 11:14:27,17-01-2024 11:14:29,2.408s,PASSED
hideKeyboard(),,,,17-01-2024 11:14:29,17-01-2024 11:14:31,2.375s,PASSED
"setText(findTestObject(""Add Account/Main Phone Number""), str_MainMobileNo, 0)",,,,17-01-2024 11:14:31,17-01-2024 11:14:33,1.951s,PASSED
hideKeyboard(),,,,17-01-2024 11:14:33,17-01-2024 11:14:38,4.177s,PASSED
