Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,27-03-2024 14:39:52,27-03-2024 15:03:15,23m - 22.903s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - New Opty,,,,27-03-2024 14:39:53,27-03-2024 14:44:01,4m - 8.009s,PASSED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\git\EguruSmart1\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ""Str_Password"":""Soct#2023"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:39:54,27-03-2024 14:40:51,56.986s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 5)",,,,27-03-2024 14:40:51,27-03-2024 14:40:56,5.141s,PASSED
if (Bool_Offline == true),,,,27-03-2024 14:40:56,27-03-2024 14:40:56,0.008s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,27-03-2024 14:40:56,27-03-2024 14:40:58,2.040s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,27-03-2024 14:40:58,27-03-2024 14:40:59,0.395s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,,,27-03-2024 14:40:59,27-03-2024 14:41:01,2.080s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,27-03-2024 14:41:01,27-03-2024 14:41:01,0.290s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,27-03-2024 14:41:01,27-03-2024 14:41:01,0.285s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,27-03-2024 14:41:01,27-03-2024 14:41:02,0.292s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,27-03-2024 14:41:02,27-03-2024 14:41:02,0.299s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,27-03-2024 14:41:02,27-03-2024 14:41:02,0.307s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,27-03-2024 14:41:02,27-03-2024 14:41:02,0.014s,PASSED
takeScreenshot(),,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer",,27-03-2024 14:41:02,27-03-2024 14:41:05,2.260s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 3)",,,,27-03-2024 14:41:05,27-03-2024 14:41:06,1.097s,PASSED
"bool_AddContact = verifyElementExist(findTestObject(""Add Contact/AddContact""), 30)",,,,27-03-2024 14:41:06,27-03-2024 14:41:06,0.282s,PASSED
"bool_SearchAddContact = verifyElementExist(findTestObject(""Add Contact/Search - Add Contact""), 30)",,,,27-03-2024 14:41:06,27-03-2024 14:41:07,1.131s,PASSED
bool_AddContact && bool_SearchAddContact == true,,,,27-03-2024 14:41:07,27-03-2024 14:41:07,0.004s,PASSED
takeScreenshot(),,"STEP-02 : The user successfully  landed on the Add Opportunity screen with the below options-:
1. Add Contact
2. Search bar for existing contact search",,27-03-2024 14:41:07,27-03-2024 14:41:10,2.542s,PASSED
minRange = 1,,,,27-03-2024 14:41:10,27-03-2024 14:41:10,0.002s,PASSED
maxRange = 1000,,,,27-03-2024 14:41:10,27-03-2024 14:41:10,0.001s,PASSED
"randomInt = current().nextInt(minRange, maxRange + 1)",,,,27-03-2024 14:41:10,27-03-2024 14:41:10,0.024s,PASSED
Result = $str_NewContact $randomInt,,,,27-03-2024 14:41:10,27-03-2024 14:41:10,0.067s,PASSED
"tap(findTestObject(""Add Contact/Search - Add Contact""), 0, STOP_ON_FAILURE)",,,,27-03-2024 14:41:10,27-03-2024 14:41:11,1.232s,PASSED
"setText(findTestObject(""TataMotars/SearchBox""), Result, 0)",,,,27-03-2024 14:41:11,27-03-2024 14:41:13,2.086s,PASSED
hideKeyboard(),,,,27-03-2024 14:41:13,27-03-2024 14:41:15,2.119s,PASSED
"str_getNewContact = getAttribute(findTestObject(""TataMotars/SearchBox""), ""name"", 0)",,,,27-03-2024 14:41:15,27-03-2024 14:41:16,1.187s,PASSED
Result == str_getNewContact,,,,27-03-2024 14:41:16,27-03-2024 14:41:16,0.002s,PASSED
takeScreenshot(),,STEP-03 : The user successfully enters the name and respective name should be visible,,27-03-2024 14:41:16,27-03-2024 14:41:18,2.085s,PASSED
"tap(findTestObject(""Add Contact/AddNewContactButton""), 0)",,,,27-03-2024 14:41:18,27-03-2024 14:41:19,0.386s,PASSED
"setText(findTestObject(""Primery Details/FirstName""), str_FirstName, 0)",,,,27-03-2024 14:41:19,27-03-2024 14:41:21,2.632s,PASSED
hideKeyboard(),,,,27-03-2024 14:41:21,27-03-2024 14:41:24,2.067s,PASSED
"setText(findTestObject(""Primery Details/LastName""), str_LastName, 0)",,,,27-03-2024 14:41:24,27-03-2024 14:41:26,2.230s,PASSED
hideKeyboard(),,,,27-03-2024 14:41:26,27-03-2024 14:41:28,2.165s,PASSED
"tap(findTestObject(""Primery Details/MobileNumber""), 0)",,,,27-03-2024 14:41:28,27-03-2024 14:41:29,1.209s,PASSED
"setText(findTestObject(""Primery Details/MobileNumber""), str_MobileNumber, 0)",,,,27-03-2024 14:41:29,27-03-2024 14:41:32,2.462s,PASSED
hideKeyboard(),,,,27-03-2024 14:41:32,27-03-2024 14:41:36,4.447s,PASSED
