Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,01-03-2024 16:25:56,01-03-2024 16:28:11,2m - 15.011s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - New Opty,,,,01-03-2024 16:25:56,01-03-2024 16:28:11,2m - 14.699s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Downloads\tatamotarsdemo 1\tatamotarsdemo\Application\app-release 2.apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,01-03-2024 16:25:58,01-03-2024 16:27:03,1m - 4.811s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,01-03-2024 16:27:03,01-03-2024 16:27:04,1.389s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,,,01-03-2024 16:27:04,01-03-2024 16:27:06,1.875s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,01-03-2024 16:27:06,01-03-2024 16:27:06,0.277s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,01-03-2024 16:27:06,01-03-2024 16:27:07,0.259s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,01-03-2024 16:27:07,01-03-2024 16:27:07,0.263s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,01-03-2024 16:27:07,01-03-2024 16:27:07,0.245s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,01-03-2024 16:27:07,01-03-2024 16:27:07,0.270s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,01-03-2024 16:27:07,01-03-2024 16:27:07,0.013s,PASSED
takeScreenshot(),,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer",,01-03-2024 16:27:07,01-03-2024 16:27:09,1.547s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 3)",,,,01-03-2024 16:27:09,01-03-2024 16:27:10,1.118s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 10)",,5,,01-03-2024 16:27:10,01-03-2024 16:27:20,10.127s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:27:20,01-03-2024 16:27:20,0.002s,PASSED
"bool_AddContact = verifyElementExist(findTestObject(""Add Contact/AddContact""), 30)",,,,01-03-2024 16:27:20,01-03-2024 16:27:20,0.227s,PASSED
"bool_SearchAddContact = verifyElementExist(findTestObject(""Add Contact/Search - Add Contact""), 30)",,,,01-03-2024 16:27:20,01-03-2024 16:27:21,0.732s,PASSED
bool_AddContact && bool_SearchAddContact == true,,,,01-03-2024 16:27:21,01-03-2024 16:27:21,0.002s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 10)",,5,,01-03-2024 16:27:21,01-03-2024 16:27:31,10.150s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:27:31,01-03-2024 16:27:31,0.002s,PASSED
takeScreenshot(),,"STEP-02 : The user successfully  landed on the Add Opportunity screen with the below options-:
1. Add Contact
2. Search bar for existing contact search",,01-03-2024 16:27:31,01-03-2024 16:27:33,1.296s,PASSED
"tap(findTestObject(""Add Contact/Search - Add Contact""), 0, STOP_ON_FAILURE)",,,,01-03-2024 16:27:33,01-03-2024 16:27:34,1.814s,PASSED
"setText(findTestObject(""TataMotars/SearchBox""), str_NewContact, 0)",,,,01-03-2024 16:27:34,01-03-2024 16:27:35,0.834s,PASSED
hideKeyboard(),,,,01-03-2024 16:27:35,01-03-2024 16:27:37,1.760s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 30)",,,,01-03-2024 16:27:37,01-03-2024 16:28:07,30.107s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:28:07,01-03-2024 16:28:07,0.001s,PASSED
else,,,,01-03-2024 16:28:07,01-03-2024 16:28:07,0.006s,PASSED
"str_getNewContact = getAttribute(findTestObject(""TataMotars/SearchBox""), ""name"", 0)",,,,01-03-2024 16:28:07,01-03-2024 16:28:08,0.720s,PASSED
str_NewContact == str_getNewContact,,,,01-03-2024 16:28:08,01-03-2024 16:28:08,0.001s,PASSED
"tap(findTestObject(""Add Contact/AddNewContactButton""), 0)",,,,01-03-2024 16:28:08,01-03-2024 16:28:08,0.296s,PASSED
"setText(findTestObject(""Primery Details/FirstName""), str_FirstName, 0)",,,,01-03-2024 16:28:08,01-03-2024 16:28:11,2.583s,FAILED
