Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,01-03-2024 16:45:07,01-03-2024 16:48:17,3m - 10.121s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - New Opty,,,,01-03-2024 16:45:07,01-03-2024 16:48:17,3m - 9.856s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Downloads\tatamotarsdemo 1\tatamotarsdemo\Application\app-release 2.apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,01-03-2024 16:45:09,01-03-2024 16:46:14,1m - 4.943s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,01-03-2024 16:46:14,01-03-2024 16:46:14,0.291s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,,,01-03-2024 16:46:14,01-03-2024 16:46:16,1.996s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,01-03-2024 16:46:16,01-03-2024 16:46:17,0.281s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,01-03-2024 16:46:17,01-03-2024 16:46:17,0.278s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,01-03-2024 16:46:17,01-03-2024 16:46:17,0.290s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,01-03-2024 16:46:17,01-03-2024 16:46:17,0.296s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,01-03-2024 16:46:17,01-03-2024 16:46:18,0.291s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,01-03-2024 16:46:18,01-03-2024 16:46:18,0.019s,PASSED
takeScreenshot(),,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer",,01-03-2024 16:46:18,01-03-2024 16:46:19,1.548s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 3)",,,,01-03-2024 16:46:19,01-03-2024 16:46:20,1.086s,PASSED
"bool_AddContact = verifyElementExist(findTestObject(""Add Contact/AddContact""), 30)",,,,01-03-2024 16:46:20,01-03-2024 16:46:21,0.298s,PASSED
"bool_SearchAddContact = verifyElementExist(findTestObject(""Add Contact/Search - Add Contact""), 30)",,,,01-03-2024 16:46:21,01-03-2024 16:46:21,0.766s,PASSED
bool_AddContact && bool_SearchAddContact == true,,,,01-03-2024 16:46:21,01-03-2024 16:46:21,0.006s,PASSED
takeScreenshot(),,"STEP-02 : The user successfully  landed on the Add Opportunity screen with the below options-:
1. Add Contact
2. Search bar for existing contact search",,01-03-2024 16:46:21,01-03-2024 16:46:23,1.440s,PASSED
"tap(findTestObject(""Add Contact/Search - Add Contact""), 0, STOP_ON_FAILURE)",,,,01-03-2024 16:46:23,01-03-2024 16:46:24,0.867s,PASSED
"setText(findTestObject(""TataMotars/SearchBox""), str_NewContact, 0)",,,,01-03-2024 16:46:24,01-03-2024 16:46:26,1.934s,PASSED
hideKeyboard(),,,,01-03-2024 16:46:26,01-03-2024 16:46:27,1.743s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 5)",,,,01-03-2024 16:46:27,01-03-2024 16:46:33,5.171s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:46:33,01-03-2024 16:46:33,0.002s,PASSED
else,,,,01-03-2024 16:46:33,01-03-2024 16:46:33,0.013s,PASSED
"str_getNewContact = getAttribute(findTestObject(""TataMotars/SearchBox""), ""name"", 0)",,,,01-03-2024 16:46:33,01-03-2024 16:46:33,0.845s,PASSED
