Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,27-03-2024 14:21:10,27-03-2024 14:21:19,9.089s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - New Opty,,,,27-03-2024 14:21:11,27-03-2024 14:21:13,2.684s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:12,27-03-2024 14:21:13,0.945s,FAILED
,,,,,,,
Test Cases/TC/TC_02 -Create New Customer,,,,27-03-2024 14:21:13,27-03-2024 14:21:14,0.648s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:14,27-03-2024 14:21:14,0.110s,FAILED
,,,,,,,
Test Cases/TC/TC_03 -Add Account,,,,27-03-2024 14:21:14,27-03-2024 14:21:15,0.722s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:15,27-03-2024 14:21:15,0.120s,FAILED
,,,,,,,
Test Cases/TC/TC_04 -Add Influencer,,,,27-03-2024 14:21:15,27-03-2024 14:21:15,0.756s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:15,27-03-2024 14:21:15,0.142s,FAILED
,,,,,,,
Test Cases/TC/TC_05 - Follow up Already Scheduled,,,,27-03-2024 14:21:15,27-03-2024 14:21:16,0.484s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:16,27-03-2024 14:21:16,0.159s,FAILED
,,,,,,,
Test Cases/TC/TC_06 - C1 Functionality,,,,27-03-2024 14:21:16,27-03-2024 14:21:17,0.987s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:17,27-03-2024 14:21:17,0.128s,FAILED
,,,,,,,
Test Cases/TC/TC_07 - Filter Fuctionality,,,,27-03-2024 14:21:17,27-03-2024 14:21:18,0.903s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:18,27-03-2024 14:21:18,0.116s,FAILED
,,,,,,,
Test Cases/TC/TC_08 - Lost Functionality,,,,27-03-2024 14:21:18,27-03-2024 14:21:18,0.529s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:18,27-03-2024 14:21:18,0.107s,FAILED
,,,,,,,
Test Cases/TC/TC_09 - Non Lost Functionality,,,,27-03-2024 14:21:18,27-03-2024 14:21:19,0.444s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:19,27-03-2024 14:21:19,0.093s,FAILED
,,,,,,,
Test Cases/TC/TC_10 - Follow up Update schedule,,,,27-03-2024 14:21:19,27-03-2024 14:21:19,0.495s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Katalon Studio\tatamotarsdemoNew\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,27-03-2024 14:21:19,27-03-2024 14:21:19,0.106s,FAILED
