Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,01-03-2024 16:41:17,01-03-2024 16:44:40,3m - 23.620s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - New Opty,,,,01-03-2024 16:41:17,01-03-2024 16:44:40,3m - 23.265s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\Downloads\tatamotarsdemo 1\tatamotarsdemo\Application\app-release 2.apk"", ""Str_Username"":""DUSER145"", ... ], STOP_ON_FAILURE)",,,,01-03-2024 16:41:19,01-03-2024 16:42:39,1m - 19.293s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,01-03-2024 16:42:39,01-03-2024 16:42:39,0.348s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,,,01-03-2024 16:42:39,01-03-2024 16:42:41,1.843s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,01-03-2024 16:42:41,01-03-2024 16:42:41,0.265s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,01-03-2024 16:42:41,01-03-2024 16:42:41,0.252s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,01-03-2024 16:42:41,01-03-2024 16:42:42,0.249s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,01-03-2024 16:42:42,01-03-2024 16:42:42,0.293s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,01-03-2024 16:42:42,01-03-2024 16:42:42,0.242s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,01-03-2024 16:42:42,01-03-2024 16:42:42,0.013s,PASSED
takeScreenshot(),,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer",,01-03-2024 16:42:42,01-03-2024 16:42:44,1.742s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 3)",,,,01-03-2024 16:42:44,01-03-2024 16:42:45,1.072s,PASSED
"bool_AddContact = verifyElementExist(findTestObject(""Add Contact/AddContact""), 30)",,,,01-03-2024 16:42:45,01-03-2024 16:42:45,0.316s,PASSED
"bool_SearchAddContact = verifyElementExist(findTestObject(""Add Contact/Search - Add Contact""), 30)",,,,01-03-2024 16:42:45,01-03-2024 16:42:46,0.786s,PASSED
bool_AddContact && bool_SearchAddContact == true,,,,01-03-2024 16:42:46,01-03-2024 16:42:46,0.005s,PASSED
takeScreenshot(),,"STEP-02 : The user successfully  landed on the Add Opportunity screen with the below options-:
1. Add Contact
2. Search bar for existing contact search",,01-03-2024 16:42:46,01-03-2024 16:42:47,1.411s,PASSED
"tap(findTestObject(""Add Contact/Search - Add Contact""), 0, STOP_ON_FAILURE)",,,,01-03-2024 16:42:47,01-03-2024 16:42:48,0.851s,PASSED
"setText(findTestObject(""TataMotars/SearchBox""), str_NewContact, 0)",,,,01-03-2024 16:42:48,01-03-2024 16:42:50,1.883s,PASSED
hideKeyboard(),,,,01-03-2024 16:42:50,01-03-2024 16:42:52,1.793s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 5)",,,,01-03-2024 16:42:52,01-03-2024 16:42:57,5.109s,PASSED
if (Bool_Offline == true),,,,01-03-2024 16:42:57,01-03-2024 16:42:57,0.005s,PASSED
else,,,,01-03-2024 16:42:57,01-03-2024 16:42:57,0.015s,PASSED
"str_getNewContact = getAttribute(findTestObject(""TataMotars/SearchBox""), ""name"", 0)",,,,01-03-2024 16:42:57,01-03-2024 16:42:58,0.884s,PASSED
str_NewContact == str_getNewContact,,,,01-03-2024 16:42:58,01-03-2024 16:42:58,0.005s,PASSED
"tap(findTestObject(""Add Contact/AddNewContactButton""), 0)",,,,01-03-2024 16:42:58,01-03-2024 16:42:59,0.972s,PASSED
"setText(findTestObject(""Primery Details/FirstName""), str_FirstName, 0)",,,,01-03-2024 16:42:59,01-03-2024 16:43:01,1.903s,PASSED
takeScreenshot(),,STEP-03 : The user successfully enters the name and respective name should be visible,,01-03-2024 16:43:01,01-03-2024 16:43:02,1.095s,PASSED
hideKeyboard(),,,,01-03-2024 16:43:02,01-03-2024 16:43:04,1.832s,PASSED
"setText(findTestObject(""Primery Details/LastName""), str_LastName, 0)",,,,01-03-2024 16:43:04,01-03-2024 16:43:06,2.419s,PASSED
hideKeyboard(),,,,01-03-2024 16:43:06,01-03-2024 16:43:08,1.737s,PASSED
"setText(findTestObject(""Primery Details/MobileNumber""), str_MobileNumber, 0)",,,,01-03-2024 16:43:08,01-03-2024 16:43:10,1.856s,PASSED
hideKeyboard(),,,,01-03-2024 16:43:10,01-03-2024 16:43:13,3.442s,PASSED
takeScreenshot(),,,,01-03-2024 16:43:13,01-03-2024 16:43:14,1.022s,PASSED
"tap(findTestObject(""Create New Opportunity/Customer Type""), 0)",,,,01-03-2024 16:43:14,01-03-2024 16:43:15,0.907s,PASSED
"sendKeys(findTestObject(""Create New Opportunity/Type_CustomerType""), str_CustomerType, STOP_ON_FAILURE)",,,,01-03-2024 16:43:15,01-03-2024 16:43:17,1.635s,PASSED
hideKeyboard(),,,,01-03-2024 16:43:17,01-03-2024 16:43:19,1.791s,PASSED
"Bool_Customer = waitForElementPresent(findTestObject(""Create New Opportunity/Click_Customer""), 5)",,,,01-03-2024 16:43:19,01-03-2024 16:43:24,5.096s,PASSED
if (Bool_Customer == true),,,,01-03-2024 16:43:24,01-03-2024 16:43:24,0.004s,PASSED
"checkElement(findTestObject(""Primery Details/Influencer Checkbox""), 0)",,,,01-03-2024 16:43:24,01-03-2024 16:43:25,1.121s,PASSED
hideKeyboard(),,,,01-03-2024 16:43:25,01-03-2024 16:43:26,0.850s,PASSED
"tap(findTestObject(""Create New Opportunity/Additional information""), 0)",,,,01-03-2024 16:43:26,01-03-2024 16:43:28,2.587s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,01-03-2024 16:43:28,01-03-2024 16:43:31,3.060s,PASSED
"tap(findTestObject(""Primery Details/Enter InfluencerType""), 0)",,,,01-03-2024 16:43:31,01-03-2024 16:43:32,0.888s,PASSED
"setText(findTestObject(""Create New Opportunity/Type Influencer""), str_InfluencerType, 0)",,,,01-03-2024 16:43:32,01-03-2024 16:43:34,1.729s,PASSED
hideKeyboard(),,,,01-03-2024 16:43:34,01-03-2024 16:43:36,1.701s,PASSED
takeScreenshot(),,,,01-03-2024 16:43:36,01-03-2024 16:43:37,1.059s,PASSED
"tap(findTestObject(""Primery Details/Address Details/NextButton""), 0)",,,,01-03-2024 16:43:37,01-03-2024 16:43:38,0.884s,PASSED
"bool_ProceedButton = verifyElementExist(findTestObject(""Primery Details/Proceed Button""), 30)",,,,01-03-2024 16:43:38,01-03-2024 16:43:39,1.276s,PASSED
if (bool_ProceedButton),,"STEP-05 : Select the Contact

Expected_Result : The user should be able to select the contact

Actual_Result : The user select the contact",,01-03-2024 16:43:39,01-03-2024 16:43:41,1.684s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,01-03-2024 16:43:41,01-03-2024 16:43:43,2.015s,PASSED
takeScreenshot(),,,,01-03-2024 16:43:43,01-03-2024 16:43:44,1.053s,PASSED
"verifyElementExist(findTestObject(""Vehicle information/Vehicle information""), 30)",,,,01-03-2024 16:43:44,01-03-2024 16:43:51,7.484s,PASSED
"setText(findTestObject(""Vehicle information/SelectProductLine""), str_ProductLine, 0)",,"STEP-07 : Select the Product line and model

Expected_Result : The user should be able to select the product line and model option

Actual_Result : The user selects the product line option and model option",,01-03-2024 16:43:51,01-03-2024 16:43:53,1.961s,PASSED
"tap(findTestObject(""Vehicle information/ClickSelectedProduct""), 0)",,,,01-03-2024 16:43:53,01-03-2024 16:43:54,1.418s,PASSED
hideKeyboard(),,,,01-03-2024 16:43:54,01-03-2024 16:43:56,1.834s,PASSED
takeScreenshot(),,,,01-03-2024 16:43:56,01-03-2024 16:43:57,0.984s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,01-03-2024 16:43:57,01-03-2024 16:44:02,5.011s,PASSED
"setText(findTestObject(""Vehicle information/SelectModel""), str_Model, 0)",,,,01-03-2024 16:44:02,01-03-2024 16:44:04,2.200s,PASSED
"tap(findTestObject(""Vehicle information/ClickModel""), 0)",,,,01-03-2024 16:44:04,01-03-2024 16:44:06,1.413s,PASSED
takeScreenshot(),,,,01-03-2024 16:44:06,01-03-2024 16:44:07,1.032s,PASSED
"tap(findTestObject(""Vehicle information/NextButton""), 0)",,,,01-03-2024 16:44:07,01-03-2024 16:44:08,0.800s,PASSED
"verifyElementVisible(findTestObject(""Create New Opportunity/ClickVehicleApplication""), 0)",,,,01-03-2024 16:44:08,01-03-2024 16:44:40,32.461s,FAILED
