Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TataMotors,,,,04-04-2024 14:32:56,04-04-2024 14:52:22,19m - 26.751s,FAILED
,,,,,,,
Test Cases/TC/TC_01 - New Opty,,,,04-04-2024 14:32:56,04-04-2024 14:35:30,2m - 33.526s,FAILED
"callTestCase(findTestCase(""CommenWorkflows/Login""), [""Str_URL"":""C:\Users\sushil.gaikwad\git\EguruSmart1\Application\app-release (4).apk"", ""Str_Username"":""DUSER145"", ""Str_Password"":""Soct#2023"", ... ], STOP_ON_FAILURE)",,,,04-04-2024 14:32:59,04-04-2024 14:33:52,52.752s,PASSED
"Bool_Offline = waitForElementPresent(findTestObject(""LockScreen/NewPin/Offline Master Sync""), 5)",,,,04-04-2024 14:33:52,04-04-2024 14:33:57,5.112s,PASSED
if (Bool_Offline == true),,,,04-04-2024 14:33:57,04-04-2024 14:33:57,0.002s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,04-04-2024 14:33:57,04-04-2024 14:33:59,2.036s,PASSED
"verifyElementExist(findTestObject(""TataMotars/HomeButton""), 10)",,,,04-04-2024 14:33:59,04-04-2024 14:33:59,0.278s,PASSED
"tap(findTestObject(""TataMotars/PluseButton""), 0)",,,,04-04-2024 14:33:59,04-04-2024 14:34:00,0.828s,PASSED
"bool_Opportunity = verifyElementExist(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 0)",,,,04-04-2024 14:34:00,04-04-2024 14:34:01,0.889s,PASSED
"bool_Account = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Account""), 0)",,,,04-04-2024 14:34:01,04-04-2024 14:34:01,0.239s,PASSED
"bool_Customer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Customer""), 0)",,,,04-04-2024 14:34:01,04-04-2024 14:34:01,0.227s,PASSED
"bool_Influencer = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Influencer""), 0)",,,,04-04-2024 14:34:01,04-04-2024 14:34:02,0.223s,PASSED
"bool_FollowUp = verifyElementExist(findTestObject(""TataMotars/Pluse Button/Follow Up""), 0)",,,,04-04-2024 14:34:02,04-04-2024 14:34:02,0.216s,PASSED
bool_Opportunity && bool_Account && bool_Customer && bool_Influencer && bool_FollowUp == false,,,,04-04-2024 14:34:02,04-04-2024 14:34:02,0.008s,PASSED
takeScreenshot(),,"STEP-01 : Click on + icon

Expected_Result : The pop up should appear and below 4 option should be listed
1. Opportunity
2. Customer
3. Account
4. Influencer",,04-04-2024 14:34:02,04-04-2024 14:34:03,1.340s,PASSED
"tap(findTestObject(""TataMotars/Pluse Button/OpportunityButton""), 3)",,,,04-04-2024 14:34:03,04-04-2024 14:34:04,1.038s,PASSED
"bool_AddContact = verifyElementExist(findTestObject(""Add Contact/AddContact""), 30)",,,,04-04-2024 14:34:04,04-04-2024 14:34:04,0.237s,PASSED
"bool_SearchAddContact = verifyElementExist(findTestObject(""Add Contact/Search - Add Contact""), 30)",,,,04-04-2024 14:34:04,04-04-2024 14:34:05,0.714s,PASSED
